#TYPE Deserialized.System.Object
"ComputerName","GroupName","Type","Name","PSComputerName","RunspaceId","PSShowComputerName"
"UKVMSAPP032","Administrators","User","UKServerAcc","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","Administrators","Group","UK-SG Bangalore NMC","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","Administrators","User","Vkolli","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","Administrators","User","jmcinally","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","Event Log Readers","Group","UK-SG TaxWorkflow_Support","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","Guests","User","K1_Gst","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","IIS_IUSRS","System","DefaultAppPool","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","IIS_IUSRS","System","ExternalServices.Sap","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","IIS_IUSRS","System","ExternalServices.Atlas","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","Power Users","Group","UK-SG Hardware Team","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","Remote Desktop Users","User","ukrctgovardhan","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","Users","System","INTERACTIVE","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","Users","System","Authenticated Users","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","Users","Group","Domain Users","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","ConfigMgr Remote Control Users","Group","UK-SG SCCM2012 Remote Viewer","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","WindowsFabricAdministrators","User","svc-TaxWFBus","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
"UKVMSAPP032","WindowsFabricAllowedUsers","User","svc-TaxWFBus","UKVMSAPP032","95f9f7a5-7363-432a-a4a7-f0426e0d20e4","True"
